Key,Game_Date,Team,Opponent,Game_Result
1,2016-04-05,Boston Red Sox,Cleveland Indians,1
2,2016-04-06,Boston Red Sox,Cleveland Indians,0
3,2016-04-08,Boston Red Sox,Toronto Blue Jays,1
4,2016-04-09,Boston Red Sox,Toronto Blue Jays,1
5,2016-04-10,Boston Red Sox,Toronto Blue Jays,0
6,2016-04-11,Boston Red Sox,Baltimore Orioles,0
7,2016-04-12,Boston Red Sox,Baltimore Orioles,0
8,2016-04-13,Boston Red Sox,Baltimore Orioles,1
9,2016-04-15,Boston Red Sox,Toronto Blue Jays,1
10,2016-04-16,Boston Red Sox,Toronto Blue Jays,1
11,2016-04-17,Boston Red Sox,Toronto Blue Jays,0
12,2016-04-18,Boston Red Sox,Toronto Blue Jays,0
13,2016-04-19,Boston Red Sox,Tampa Bay Rays,0
14,2016-04-20,Boston Red Sox,Tampa Bay Rays,1
15,2016-04-21,Boston Red Sox,Tampa Bay Rays,0
16,2016-04-22,Boston Red Sox,Houston Astros,1
17,2016-04-23,Boston Red Sox,Houston Astros,0
18,2016-04-24,Boston Red Sox,Houston Astros,1
19,2016-04-25,Boston Red Sox,Atlanta Braves,1
20,2016-04-26,Boston Red Sox,Atlanta Braves,1
21,2016-04-27,Boston Red Sox,Atlanta Braves,1
22,2016-04-28,Boston Red Sox,Atlanta Braves,0
23,2016-04-29,Boston Red Sox,New York Yankees,1
24,2016-04-30,Boston Red Sox,New York Yankees,1
25,2016-05-01,Boston Red Sox,New York Yankees,1
26,2016-05-03,Boston Red Sox,Chicago White Sox,0
27,2016-05-04,Boston Red Sox,Chicago White Sox,1
28,2016-05-05,Boston Red Sox,Chicago White Sox,1
29,2016-05-06,Boston Red Sox,New York Yankees,0
30,2016-05-07,Boston Red Sox,New York Yankees,0
31,2016-05-08,Boston Red Sox,New York Yankees,1
32,2016-05-09,Boston Red Sox,Oakland Athletics,1
33,2016-05-10,Boston Red Sox,Oakland Athletics,1
34,2016-05-11,Boston Red Sox,Oakland Athletics,1
35,2016-05-12,Boston Red Sox,Houston Astros,1
36,2016-05-13,Boston Red Sox,Houston Astros,0
37,2016-05-14,Boston Red Sox,Houston Astros,1
38,2016-05-15,Boston Red Sox,Houston Astros,1
39,2016-05-17,Boston Red Sox,Kansas City Royals,0
40,2016-05-18,Boston Red Sox,Kansas City Royals,0
41,2016-05-18,Boston Red Sox,Kansas City Royals,1
42,2016-05-20,Boston Red Sox,Cleveland Indians,0
43,2016-05-21,Boston Red Sox,Cleveland Indians,1
44,2016-05-22,Boston Red Sox,Cleveland Indians,1
45,2016-05-24,Boston Red Sox,Colorado Rockies,1
46,2016-05-25,Boston Red Sox,Colorado Rockies,1
47,2016-05-26,Boston Red Sox,Colorado Rockies,0
48,2016-05-27,Boston Red Sox,Toronto Blue Jays,0
49,2016-05-28,Boston Red Sox,Toronto Blue Jays,0
50,2016-05-29,Boston Red Sox,Toronto Blue Jays,1
51,2016-05-30,Boston Red Sox,Baltimore Orioles,1
52,2016-05-31,Boston Red Sox,Baltimore Orioles,1
53,2016-06-01,Boston Red Sox,Baltimore Orioles,0
54,2016-06-02,Boston Red Sox,Baltimore Orioles,0
55,2016-06-03,Boston Red Sox,Toronto Blue Jays,0
56,2016-06-04,Boston Red Sox,Toronto Blue Jays,1
57,2016-06-05,Boston Red Sox,Toronto Blue Jays,0
58,2016-06-07,Boston Red Sox,San Francisco Giants,1
59,2016-06-08,Boston Red Sox,San Francisco Giants,0
60,2016-06-10,Boston Red Sox,Minnesota Twins,1
61,2016-06-11,Boston Red Sox,Minnesota Twins,1
62,2016-06-12,Boston Red Sox,Minnesota Twins,0
63,2016-06-14,Boston Red Sox,Baltimore Orioles,0
64,2016-06-15,Boston Red Sox,Baltimore Orioles,1
65,2016-06-16,Boston Red Sox,Baltimore Orioles,0
66,2016-06-17,Boston Red Sox,Seattle Mariners,0
67,2016-06-18,Boston Red Sox,Seattle Mariners,1
68,2016-06-19,Boston Red Sox,Seattle Mariners,1
69,2016-06-20,Boston Red Sox,Chicago White Sox,0
70,2016-06-21,Boston Red Sox,Chicago White Sox,0
71,2016-06-22,Boston Red Sox,Chicago White Sox,0
72,2016-06-23,Boston Red Sox,Chicago White Sox,1
73,2016-06-24,Boston Red Sox,Texas Rangers,1
74,2016-06-25,Boston Red Sox,Texas Rangers,0
75,2016-06-26,Boston Red Sox,Texas Rangers,0
76,2016-06-27,Boston Red Sox,Tampa Bay Rays,0
77,2016-06-28,Boston Red Sox,Tampa Bay Rays,1
78,2016-06-29,Boston Red Sox,Tampa Bay Rays,0
79,2016-07-01,Boston Red Sox,Los Angeles Angels,1
80,2016-07-02,Boston Red Sox,Los Angeles Angels,0
81,2016-07-03,Boston Red Sox,Los Angeles Angels,1
82,2016-07-04,Boston Red Sox,Texas Rangers,1
83,2016-07-05,Boston Red Sox,Texas Rangers,0
84,2016-07-06,Boston Red Sox,Texas Rangers,1
85,2016-07-08,Boston Red Sox,Tampa Bay Rays,1
86,2016-07-09,Boston Red Sox,Tampa Bay Rays,1
87,2016-07-10,Boston Red Sox,Tampa Bay Rays,1
88,2016-07-15,Boston Red Sox,New York Yankees,1
89,2016-07-16,Boston Red Sox,New York Yankees,1
90,2016-07-17,Boston Red Sox,New York Yankees,0
91,2016-07-19,Boston Red Sox,San Francisco Giants,1
92,2016-07-20,Boston Red Sox,San Francisco Giants,1
93,2016-07-21,Boston Red Sox,Minnesota Twins,1
94,2016-07-22,Boston Red Sox,Minnesota Twins,0
95,2016-07-23,Boston Red Sox,Minnesota Twins,0
96,2016-07-24,Boston Red Sox,Minnesota Twins,1
97,2016-07-25,Boston Red Sox,Detroit Tigers,0
98,2016-07-26,Boston Red Sox,Detroit Tigers,0
99,2016-07-27,Boston Red Sox,Detroit Tigers,0
100,2016-07-28,Boston Red Sox,Los Angeles Angels,0
101,2016-07-29,Boston Red Sox,Los Angeles Angels,1
102,2016-07-30,Boston Red Sox,Los Angeles Angels,0
103,2016-07-31,Boston Red Sox,Los Angeles Angels,1
104,2016-08-01,Boston Red Sox,Seattle Mariners,1
105,2016-08-02,Boston Red Sox,Seattle Mariners,0
106,2016-08-03,Boston Red Sox,Seattle Mariners,0
107,2016-08-04,Boston Red Sox,Seattle Mariners,1
108,2016-08-05,Boston Red Sox,Los Angeles Dodgers,1
109,2016-08-06,Boston Red Sox,Los Angeles Dodgers,0
110,2016-08-07,Boston Red Sox,Los Angeles Dodgers,0
111,2016-08-09,Boston Red Sox,New York Yankees,1
112,2016-08-10,Boston Red Sox,New York Yankees,0
113,2016-08-11,Boston Red Sox,New York Yankees,0
114,2016-08-12,Boston Red Sox,Arizona Diamondbacks,1
115,2016-08-13,Boston Red Sox,Arizona Diamondbacks,1
116,2016-08-14,Boston Red Sox,Arizona Diamondbacks,1
117,2016-08-15,Boston Red Sox,Cleveland Indians,1
118,2016-08-16,Boston Red Sox,Baltimore Orioles,1
119,2016-08-17,Boston Red Sox,Baltimore Orioles,1
120,2016-08-18,Boston Red Sox,Detroit Tigers,0
121,2016-08-19,Boston Red Sox,Detroit Tigers,1
122,2016-08-20,Boston Red Sox,Detroit Tigers,1
123,2016-08-21,Boston Red Sox,Detroit Tigers,0
124,2016-08-22,Boston Red Sox,Tampa Bay Rays,1
125,2016-08-23,Boston Red Sox,Tampa Bay Rays,1
126,2016-08-24,Boston Red Sox,Tampa Bay Rays,0
127,2016-08-25,Boston Red Sox,Tampa Bay Rays,0
128,2016-08-26,Boston Red Sox,Kansas City Royals,0
129,2016-08-27,Boston Red Sox,Kansas City Royals,1
130,2016-08-28,Boston Red Sox,Kansas City Royals,0
131,2016-08-29,Boston Red Sox,Tampa Bay Rays,1
132,2016-08-30,Boston Red Sox,Tampa Bay Rays,0
133,2016-08-31,Boston Red Sox,Tampa Bay Rays,1
134,2016-09-02,Boston Red Sox,Oakland Athletics,1
135,2016-09-03,Boston Red Sox,Oakland Athletics,1
136,2016-09-04,Boston Red Sox,Oakland Athletics,0
137,2016-09-05,Boston Red Sox,San Diego Padres,0
138,2016-09-06,Boston Red Sox,San Diego Padres,1
139,2016-09-07,Boston Red Sox,San Diego Padres,1
140,2016-09-09,Boston Red Sox,Toronto Blue Jays,1
141,2016-09-10,Boston Red Sox,Toronto Blue Jays,0
142,2016-09-11,Boston Red Sox,Toronto Blue Jays,1
143,2016-09-12,Boston Red Sox,Baltimore Orioles,1
144,2016-09-13,Boston Red Sox,Baltimore Orioles,0
145,2016-09-14,Boston Red Sox,Baltimore Orioles,0
146,2016-09-15,Boston Red Sox,New York Yankees,1
147,2016-09-16,Boston Red Sox,New York Yankees,1
148,2016-09-17,Boston Red Sox,New York Yankees,1
149,2016-09-18,Boston Red Sox,New York Yankees,1
150,2016-09-19,Boston Red Sox,Baltimore Orioles,1
151,2016-09-20,Boston Red Sox,Baltimore Orioles,1
152,2016-09-21,Boston Red Sox,Baltimore Orioles,1
153,2016-09-22,Boston Red Sox,Baltimore Orioles,1
154,2016-09-23,Boston Red Sox,Tampa Bay Rays,1
155,2016-09-24,Boston Red Sox,Tampa Bay Rays,1
156,2016-09-25,Boston Red Sox,Tampa Bay Rays,1
157,2016-09-27,Boston Red Sox,New York Yankees,0
158,2016-09-28,Boston Red Sox,New York Yankees,0
159,2016-09-29,Boston Red Sox,New York Yankees,0
160,2016-09-30,Boston Red Sox,Toronto Blue Jays,1
161,2016-10-01,Boston Red Sox,Toronto Blue Jays,0
162,2016-10-02,Boston Red Sox,Toronto Blue Jays,0
163,2017-04-03,Boston Red Sox,Pittsburgh Pirates,1
164,2017-04-05,Boston Red Sox,Pittsburgh Pirates,1
165,2017-04-07,Boston Red Sox,Detroit Tigers,0
166,2017-04-08,Boston Red Sox,Detroit Tigers,0
167,2017-04-09,Boston Red Sox,Detroit Tigers,1
168,2017-04-10,Boston Red Sox,Detroit Tigers,0
169,2017-04-11,Boston Red Sox,Baltimore Orioles,1
170,2017-04-12,Boston Red Sox,Baltimore Orioles,0
171,2017-04-13,Boston Red Sox,Pittsburgh Pirates,1
172,2017-04-14,Boston Red Sox,Tampa Bay Rays,0
173,2017-04-15,Boston Red Sox,Tampa Bay Rays,1
174,2017-04-16,Boston Red Sox,Tampa Bay Rays,1
175,2017-04-17,Boston Red Sox,Tampa Bay Rays,1
176,2017-04-18,Boston Red Sox,Toronto Blue Jays,1
177,2017-04-19,Boston Red Sox,Toronto Blue Jays,0
178,2017-04-20,Boston Red Sox,Toronto Blue Jays,1
179,2017-04-21,Boston Red Sox,Baltimore Orioles,0
180,2017-04-22,Boston Red Sox,Baltimore Orioles,0
181,2017-04-23,Boston Red Sox,Baltimore Orioles,1
182,2017-04-26,Boston Red Sox,New York Yankees,0
183,2017-04-27,Boston Red Sox,New York Yankees,0
184,2017-04-28,Boston Red Sox,Chicago Cubs,1
185,2017-04-29,Boston Red Sox,Chicago Cubs,0
186,2017-04-30,Boston Red Sox,Chicago Cubs,1
187,2017-05-01,Boston Red Sox,Baltimore Orioles,0
188,2017-05-02,Boston Red Sox,Baltimore Orioles,1
189,2017-05-03,Boston Red Sox,Baltimore Orioles,1
190,2017-05-04,Boston Red Sox,Baltimore Orioles,0
191,2017-05-05,Boston Red Sox,Minnesota Twins,0
192,2017-05-06,Boston Red Sox,Minnesota Twins,1
193,2017-05-07,Boston Red Sox,Minnesota Twins,1
194,2017-05-09,Boston Red Sox,Milwaukee Brewers,0
195,2017-05-10,Boston Red Sox,Milwaukee Brewers,0
196,2017-05-11,Boston Red Sox,Milwaukee Brewers,1
197,2017-05-12,Boston Red Sox,Tampa Bay Rays,0
198,2017-05-13,Boston Red Sox,Tampa Bay Rays,1
199,2017-05-14,Boston Red Sox,Tampa Bay Rays,0
200,2017-05-16,Boston Red Sox,St. Louis Cardinals,1
201,2017-05-17,Boston Red Sox,St. Louis Cardinals,1
202,2017-05-18,Boston Red Sox,Oakland Athletics,0
203,2017-05-19,Boston Red Sox,Oakland Athletics,0
204,2017-05-20,Boston Red Sox,Oakland Athletics,0
205,2017-05-21,Boston Red Sox,Oakland Athletics,1
206,2017-05-23,Boston Red Sox,Texas Rangers,1
207,2017-05-24,Boston Red Sox,Texas Rangers,1
208,2017-05-25,Boston Red Sox,Texas Rangers,1
209,2017-05-26,Boston Red Sox,Seattle Mariners,1
210,2017-05-27,Boston Red Sox,Seattle Mariners,1
211,2017-05-28,Boston Red Sox,Seattle Mariners,0
212,2017-05-29,Boston Red Sox,Chicago White Sox,0
213,2017-05-30,Boston Red Sox,Chicago White Sox,1
214,2017-05-31,Boston Red Sox,Chicago White Sox,1
215,2017-06-01,Boston Red Sox,Baltimore Orioles,0
216,2017-06-02,Boston Red Sox,Baltimore Orioles,0
217,2017-06-03,Boston Red Sox,Baltimore Orioles,1
218,2017-06-04,Boston Red Sox,Baltimore Orioles,1
219,2017-06-06,Boston Red Sox,New York Yankees,1
220,2017-06-07,Boston Red Sox,New York Yankees,0
221,2017-06-08,Boston Red Sox,New York Yankees,0
222,2017-06-09,Boston Red Sox,Detroit Tigers,1
223,2017-06-10,Boston Red Sox,Detroit Tigers,1
224,2017-06-11,Boston Red Sox,Detroit Tigers,0
225,2017-06-12,Boston Red Sox,Philadelphia Phillies,1
226,2017-06-13,Boston Red Sox,Philadelphia Phillies,1
227,2017-06-14,Boston Red Sox,Philadelphia Phillies,1
228,2017-06-15,Boston Red Sox,Philadelphia Phillies,0
229,2017-06-16,Boston Red Sox,Houston Astros,1
230,2017-06-17,Boston Red Sox,Houston Astros,0
231,2017-06-18,Boston Red Sox,Houston Astros,1
232,2017-06-19,Boston Red Sox,Kansas City Royals,0
233,2017-06-20,Boston Red Sox,Kansas City Royals,1
234,2017-06-21,Boston Red Sox,Kansas City Royals,0
235,2017-06-23,Boston Red Sox,Los Angeles Angels,1
236,2017-06-24,Boston Red Sox,Los Angeles Angels,0
237,2017-06-25,Boston Red Sox,Los Angeles Angels,0
238,2017-06-26,Boston Red Sox,Minnesota Twins,1
239,2017-06-27,Boston Red Sox,Minnesota Twins,1
240,2017-06-28,Boston Red Sox,Minnesota Twins,0
241,2017-06-29,Boston Red Sox,Minnesota Twins,1
242,2017-06-30,Boston Red Sox,Toronto Blue Jays,1
243,2017-07-01,Boston Red Sox,Toronto Blue Jays,1
244,2017-07-02,Boston Red Sox,Toronto Blue Jays,1
245,2017-07-03,Boston Red Sox,Texas Rangers,1
246,2017-07-04,Boston Red Sox,Texas Rangers,1
247,2017-07-05,Boston Red Sox,Texas Rangers,0
248,2017-07-06,Boston Red Sox,Tampa Bay Rays,0
249,2017-07-07,Boston Red Sox,Tampa Bay Rays,1
250,2017-07-08,Boston Red Sox,Tampa Bay Rays,0
251,2017-07-09,Boston Red Sox,Tampa Bay Rays,0
252,2017-07-14,Boston Red Sox,New York Yankees,1
253,2017-07-15,Boston Red Sox,New York Yankees,0
254,2017-07-16,Boston Red Sox,New York Yankees,0
255,2017-07-16,Boston Red Sox,New York Yankees,1
256,2017-07-17,Boston Red Sox,Toronto Blue Jays,0
257,2017-07-18,Boston Red Sox,Toronto Blue Jays,1
258,2017-07-19,Boston Red Sox,Toronto Blue Jays,1
259,2017-07-20,Boston Red Sox,Toronto Blue Jays,0
260,2017-07-21,Boston Red Sox,Los Angeles Angels,1
261,2017-07-22,Boston Red Sox,Los Angeles Angels,0
262,2017-07-23,Boston Red Sox,Los Angeles Angels,0
263,2017-07-24,Boston Red Sox,Seattle Mariners,0
264,2017-07-25,Boston Red Sox,Seattle Mariners,0
265,2017-07-26,Boston Red Sox,Seattle Mariners,1
266,2017-07-28,Boston Red Sox,Kansas City Royals,0
267,2017-07-29,Boston Red Sox,Kansas City Royals,1
268,2017-07-30,Boston Red Sox,Kansas City Royals,0
269,2017-07-31,Boston Red Sox,Cleveland Indians,1
270,2017-08-01,Boston Red Sox,Cleveland Indians,1
271,2017-08-03,Boston Red Sox,Chicago White Sox,1
272,2017-08-04,Boston Red Sox,Chicago White Sox,1
273,2017-08-05,Boston Red Sox,Chicago White Sox,1
274,2017-08-06,Boston Red Sox,Chicago White Sox,1
275,2017-08-08,Boston Red Sox,Tampa Bay Rays,1
276,2017-08-09,Boston Red Sox,Tampa Bay Rays,1
277,2017-08-11,Boston Red Sox,New York Yankees,0
278,2017-08-12,Boston Red Sox,New York Yankees,1
279,2017-08-13,Boston Red Sox,New York Yankees,1
280,2017-08-14,Boston Red Sox,Cleveland Indians,0
281,2017-08-15,Boston Red Sox,St. Louis Cardinals,1
282,2017-08-16,Boston Red Sox,St. Louis Cardinals,1
283,2017-08-18,Boston Red Sox,New York Yankees,1
284,2017-08-19,Boston Red Sox,New York Yankees,0
285,2017-08-20,Boston Red Sox,New York Yankees,1
286,2017-08-21,Boston Red Sox,Cleveland Indians,0
287,2017-08-22,Boston Red Sox,Cleveland Indians,1
288,2017-08-23,Boston Red Sox,Cleveland Indians,1
289,2017-08-24,Boston Red Sox,Cleveland Indians,0
290,2017-08-25,Boston Red Sox,Baltimore Orioles,0
291,2017-08-26,Boston Red Sox,Baltimore Orioles,0
292,2017-08-27,Boston Red Sox,Baltimore Orioles,0
293,2017-08-28,Boston Red Sox,Toronto Blue Jays,1
294,2017-08-29,Boston Red Sox,Toronto Blue Jays,1
295,2017-08-30,Boston Red Sox,Toronto Blue Jays,1
296,2017-08-31,Boston Red Sox,New York Yankees,0
297,2017-09-01,Boston Red Sox,New York Yankees,1
298,2017-09-02,Boston Red Sox,New York Yankees,0
299,2017-09-03,Boston Red Sox,New York Yankees,0
300,2017-09-04,Boston Red Sox,Toronto Blue Jays,0
301,2017-09-05,Boston Red Sox,Toronto Blue Jays,1
302,2017-09-06,Boston Red Sox,Toronto Blue Jays,1
303,2017-09-08,Boston Red Sox,Tampa Bay Rays,1
304,2017-09-09,Boston Red Sox,Tampa Bay Rays,1
305,2017-09-10,Boston Red Sox,Tampa Bay Rays,0
306,2017-09-12,Boston Red Sox,Oakland Athletics,1
307,2017-09-13,Boston Red Sox,Oakland Athletics,0
308,2017-09-14,Boston Red Sox,Oakland Athletics,1
309,2017-09-15,Boston Red Sox,Tampa Bay Rays,1
310,2017-09-16,Boston Red Sox,Tampa Bay Rays,1
311,2017-09-17,Boston Red Sox,Tampa Bay Rays,0
312,2017-09-18,Boston Red Sox,Baltimore Orioles,1
313,2017-09-19,Boston Red Sox,Baltimore Orioles,1
314,2017-09-20,Boston Red Sox,Baltimore Orioles,1
315,2017-09-22,Boston Red Sox,Cincinnati Reds,1
316,2017-09-23,Boston Red Sox,Cincinnati Reds,1
317,2017-09-24,Boston Red Sox,Cincinnati Reds,1
318,2017-09-25,Boston Red Sox,Toronto Blue Jays,0
319,2017-09-26,Boston Red Sox,Toronto Blue Jays,0
320,2017-09-27,Boston Red Sox,Toronto Blue Jays,1
321,2017-09-28,Boston Red Sox,Houston Astros,0
322,2017-09-29,Boston Red Sox,Houston Astros,0
323,2017-09-30,Boston Red Sox,Houston Astros,1
324,2017-10-01,Boston Red Sox,Houston Astros,0
325,2018-03-29,Boston Red Sox,Tampa Bay Rays,0
326,2018-03-30,Boston Red Sox,Tampa Bay Rays,1
327,2018-03-31,Boston Red Sox,Tampa Bay Rays,1
328,2018-04-01,Boston Red Sox,Tampa Bay Rays,1
329,2018-04-02,Boston Red Sox,Miami Marlins,1
330,2018-04-03,Boston Red Sox,Miami Marlins,1
331,2018-04-05,Boston Red Sox,Tampa Bay Rays,1
332,2018-04-07,Boston Red Sox,Tampa Bay Rays,1
333,2018-04-08,Boston Red Sox,Tampa Bay Rays,1
334,2018-04-10,Boston Red Sox,New York Yankees,1
335,2018-04-11,Boston Red Sox,New York Yankees,0
336,2018-04-12,Boston Red Sox,New York Yankees,1
337,2018-04-13,Boston Red Sox,Baltimore Orioles,1
338,2018-04-14,Boston Red Sox,Baltimore Orioles,1
339,2018-04-15,Boston Red Sox,Baltimore Orioles,1
340,2018-04-17,Boston Red Sox,Los Angeles Angels,1
341,2018-04-18,Boston Red Sox,Los Angeles Angels,1
342,2018-04-19,Boston Red Sox,Los Angeles Angels,1
343,2018-04-20,Boston Red Sox,Oakland Athletics,1
344,2018-04-21,Boston Red Sox,Oakland Athletics,0
345,2018-04-22,Boston Red Sox,Oakland Athletics,0
346,2018-04-24,Boston Red Sox,Toronto Blue Jays,0
347,2018-04-25,Boston Red Sox,Toronto Blue Jays,1
348,2018-04-26,Boston Red Sox,Toronto Blue Jays,1
349,2018-04-27,Boston Red Sox,Tampa Bay Rays,0
350,2018-04-28,Boston Red Sox,Tampa Bay Rays,0
351,2018-04-29,Boston Red Sox,Tampa Bay Rays,1
352,2018-04-30,Boston Red Sox,Kansas City Royals,1
353,2018-05-01,Boston Red Sox,Kansas City Royals,0
354,2018-05-02,Boston Red Sox,Kansas City Royals,1
355,2018-05-03,Boston Red Sox,Texas Rangers,0
356,2018-05-04,Boston Red Sox,Texas Rangers,1
357,2018-05-05,Boston Red Sox,Texas Rangers,1
358,2018-05-06,Boston Red Sox,Texas Rangers,1
359,2018-05-08,Boston Red Sox,New York Yankees,0
360,2018-05-09,Boston Red Sox,New York Yankees,0
361,2018-05-10,Boston Red Sox,New York Yankees,1
362,2018-05-11,Boston Red Sox,Toronto Blue Jays,0
363,2018-05-12,Boston Red Sox,Toronto Blue Jays,1
364,2018-05-13,Boston Red Sox,Toronto Blue Jays,1
365,2018-05-14,Boston Red Sox,Oakland Athletics,0
366,2018-05-15,Boston Red Sox,Oakland Athletics,0
367,2018-05-16,Boston Red Sox,Oakland Athletics,1
368,2018-05-17,Boston Red Sox,Baltimore Orioles,1
369,2018-05-18,Boston Red Sox,Baltimore Orioles,0
370,2018-05-19,Boston Red Sox,Baltimore Orioles,1
371,2018-05-20,Boston Red Sox,Baltimore Orioles,1
372,2018-05-22,Boston Red Sox,Tampa Bay Rays,1
373,2018-05-23,Boston Red Sox,Tampa Bay Rays,1
374,2018-05-24,Boston Red Sox,Tampa Bay Rays,0
375,2018-05-25,Boston Red Sox,Atlanta Braves,1
376,2018-05-26,Boston Red Sox,Atlanta Braves,1
377,2018-05-27,Boston Red Sox,Atlanta Braves,0
378,2018-05-28,Boston Red Sox,Toronto Blue Jays,1
379,2018-05-29,Boston Red Sox,Toronto Blue Jays,1
380,2018-05-30,Boston Red Sox,Toronto Blue Jays,1
381,2018-05-31,Boston Red Sox,Houston Astros,0
382,2018-06-01,Boston Red Sox,Houston Astros,0
383,2018-06-02,Boston Red Sox,Houston Astros,1
384,2018-06-03,Boston Red Sox,Houston Astros,1
385,2018-06-05,Boston Red Sox,Detroit Tigers,1
386,2018-06-06,Boston Red Sox,Detroit Tigers,1
387,2018-06-07,Boston Red Sox,Detroit Tigers,0
388,2018-06-08,Boston Red Sox,Chicago White Sox,0
389,2018-06-09,Boston Red Sox,Chicago White Sox,1
390,2018-06-10,Boston Red Sox,Chicago White Sox,0
391,2018-06-11,Boston Red Sox,Baltimore Orioles,1
392,2018-06-12,Boston Red Sox,Baltimore Orioles,1
393,2018-06-13,Boston Red Sox,Baltimore Orioles,1
394,2018-06-14,Boston Red Sox,Seattle Mariners,1
395,2018-06-15,Boston Red Sox,Seattle Mariners,0
396,2018-06-16,Boston Red Sox,Seattle Mariners,0
397,2018-06-17,Boston Red Sox,Seattle Mariners,1
398,2018-06-19,Boston Red Sox,Minnesota Twins,0
399,2018-06-20,Boston Red Sox,Minnesota Twins,0
400,2018-06-21,Boston Red Sox,Minnesota Twins,1
401,2018-06-22,Boston Red Sox,Seattle Mariners,1
402,2018-06-23,Boston Red Sox,Seattle Mariners,0
403,2018-06-24,Boston Red Sox,Seattle Mariners,1
404,2018-06-26,Boston Red Sox,Los Angeles Angels,1
405,2018-06-27,Boston Red Sox,Los Angeles Angels,1
406,2018-06-28,Boston Red Sox,Los Angeles Angels,1
407,2018-06-29,Boston Red Sox,New York Yankees,0
408,2018-06-30,Boston Red Sox,New York Yankees,1
409,2018-07-01,Boston Red Sox,New York Yankees,0
410,2018-07-02,Boston Red Sox,Washington Nationals,1
411,2018-07-03,Boston Red Sox,Washington Nationals,1
412,2018-07-04,Boston Red Sox,Washington Nationals,1
413,2018-07-06,Boston Red Sox,Kansas City Royals,1
414,2018-07-07,Boston Red Sox,Kansas City Royals,1
415,2018-07-08,Boston Red Sox,Kansas City Royals,1
416,2018-07-09,Boston Red Sox,Texas Rangers,1
417,2018-07-10,Boston Red Sox,Texas Rangers,1
418,2018-07-11,Boston Red Sox,Texas Rangers,1
419,2018-07-12,Boston Red Sox,Toronto Blue Jays,1
420,2018-07-13,Boston Red Sox,Toronto Blue Jays,0
421,2018-07-14,Boston Red Sox,Toronto Blue Jays,1
422,2018-07-15,Boston Red Sox,Toronto Blue Jays,1
423,2018-07-20,Boston Red Sox,Detroit Tigers,1
424,2018-07-21,Boston Red Sox,Detroit Tigers,0
425,2018-07-22,Boston Red Sox,Detroit Tigers,1
426,2018-07-23,Boston Red Sox,Baltimore Orioles,1
427,2018-07-24,Boston Red Sox,Baltimore Orioles,0
428,2018-07-26,Boston Red Sox,Minnesota Twins,0
429,2018-07-27,Boston Red Sox,Minnesota Twins,1
430,2018-07-28,Boston Red Sox,Minnesota Twins,1
431,2018-07-29,Boston Red Sox,Minnesota Twins,1
432,2018-07-30,Boston Red Sox,Philadelphia Phillies,1
433,2018-07-31,Boston Red Sox,Philadelphia Phillies,0
434,2018-08-02,Boston Red Sox,New York Yankees,1
435,2018-08-03,Boston Red Sox,New York Yankees,1
