Key,Game_Date,Team,Opponent,Game_Result
436,2018-08-04,Boston Red Sox,New York Yankees,1
437,2018-08-05,Boston Red Sox,New York Yankees,1
438,2018-08-07,Boston Red Sox,Toronto Blue Jays,1
439,2018-08-08,Boston Red Sox,Toronto Blue Jays,1
440,2018-08-09,Boston Red Sox,Toronto Blue Jays,0
441,2018-08-10,Boston Red Sox,Baltimore Orioles,1
442,2018-08-11,Boston Red Sox,Baltimore Orioles,1
443,2018-08-11,Boston Red Sox,Baltimore Orioles,1
444,2018-08-12,Boston Red Sox,Baltimore Orioles,1
445,2018-08-14,Boston Red Sox,Philadelphia Phillies,1
446,2018-08-15,Boston Red Sox,Philadelphia Phillies,0
447,2018-08-17,Boston Red Sox,Tampa Bay Rays,1
448,2018-08-18,Boston Red Sox,Tampa Bay Rays,1
449,2018-08-19,Boston Red Sox,Tampa Bay Rays,0
450,2018-08-20,Boston Red Sox,Cleveland Indians,0
451,2018-08-21,Boston Red Sox,Cleveland Indians,0
452,2018-08-22,Boston Red Sox,Cleveland Indians,1
453,2018-08-23,Boston Red Sox,Cleveland Indians,1
454,2018-08-24,Boston Red Sox,Tampa Bay Rays,0
455,2018-08-25,Boston Red Sox,Tampa Bay Rays,0
456,2018-08-26,Boston Red Sox,Tampa Bay Rays,0
457,2018-08-28,Boston Red Sox,Miami Marlins,1
458,2018-08-29,Boston Red Sox,Miami Marlins,1
459,2018-08-30,Boston Red Sox,Chicago White Sox,1
460,2018-08-31,Boston Red Sox,Chicago White Sox,0
461,2018-09-01,Boston Red Sox,Chicago White Sox,1
462,2018-09-02,Boston Red Sox,Chicago White Sox,0
463,2018-09-03,Boston Red Sox,Atlanta Braves,1
464,2018-09-04,Boston Red Sox,Atlanta Braves,1
465,2018-09-05,Boston Red Sox,Atlanta Braves,1
466,2018-09-07,Boston Red Sox,Houston Astros,0
467,2018-09-08,Boston Red Sox,Houston Astros,0
468,2018-09-09,Boston Red Sox,Houston Astros,1
469,2018-09-11,Boston Red Sox,Toronto Blue Jays,1
470,2018-09-12,Boston Red Sox,Toronto Blue Jays,1
471,2018-09-13,Boston Red Sox,Toronto Blue Jays,1
472,2018-09-14,Boston Red Sox,New York Mets,0
473,2018-09-15,Boston Red Sox,New York Mets,1
474,2018-09-16,Boston Red Sox,New York Mets,1
475,2018-09-18,Boston Red Sox,New York Yankees,0
476,2018-09-19,Boston Red Sox,New York Yankees,0
477,2018-09-20,Boston Red Sox,New York Yankees,1
478,2018-09-21,Boston Red Sox,Cleveland Indians,1
479,2018-09-22,Boston Red Sox,Cleveland Indians,0
480,2018-09-23,Boston Red Sox,Cleveland Indians,0
481,2018-09-24,Boston Red Sox,Baltimore Orioles,1
482,2018-09-26,Boston Red Sox,Baltimore Orioles,1
483,2018-09-26,Boston Red Sox,Baltimore Orioles,0
484,2018-09-28,Boston Red Sox,New York Yankees,0
485,2018-09-29,Boston Red Sox,New York Yankees,0
486,2018-09-30,Boston Red Sox,New York Yankees,1
487,2019-03-28,Boston Red Sox,Seattle Mariners,0
488,2019-03-29,Boston Red Sox,Seattle Mariners,1
489,2019-03-30,Boston Red Sox,Seattle Mariners,0
490,2019-03-31,Boston Red Sox,Seattle Mariners,0
491,2019-04-01,Boston Red Sox,Oakland Athletics,0
492,2019-04-02,Boston Red Sox,Oakland Athletics,0
493,2019-04-03,Boston Red Sox,Oakland Athletics,1
494,2019-04-04,Boston Red Sox,Oakland Athletics,0
495,2019-04-05,Boston Red Sox,Arizona Diamondbacks,0
496,2019-04-06,Boston Red Sox,Arizona Diamondbacks,0
497,2019-04-07,Boston Red Sox,Arizona Diamondbacks,1
498,2019-04-09,Boston Red Sox,Toronto Blue Jays,0
499,2019-04-11,Boston Red Sox,Toronto Blue Jays,1
500,2019-04-12,Boston Red Sox,Baltimore Orioles,1
501,2019-04-13,Boston Red Sox,Baltimore Orioles,0
502,2019-04-14,Boston Red Sox,Baltimore Orioles,1
503,2019-04-15,Boston Red Sox,Baltimore Orioles,0
504,2019-04-16,Boston Red Sox,New York Yankees,0
505,2019-04-17,Boston Red Sox,New York Yankees,0
506,2019-04-19,Boston Red Sox,Tampa Bay Rays,1
507,2019-04-20,Boston Red Sox,Tampa Bay Rays,1
508,2019-04-21,Boston Red Sox,Tampa Bay Rays,1
509,2019-04-23,Boston Red Sox,Detroit Tigers,0
510,2019-04-23,Boston Red Sox,Detroit Tigers,0
511,2019-04-24,Boston Red Sox,Detroit Tigers,1
512,2019-04-25,Boston Red Sox,Detroit Tigers,1
513,2019-04-27,Boston Red Sox,Tampa Bay Rays,0
514,2019-04-28,Boston Red Sox,Tampa Bay Rays,0
515,2019-04-29,Boston Red Sox,Oakland Athletics,1
516,2019-04-30,Boston Red Sox,Oakland Athletics,1
517,2019-05-01,Boston Red Sox,Oakland Athletics,1
518,2019-05-02,Boston Red Sox,Chicago White Sox,0
519,2019-05-03,Boston Red Sox,Chicago White Sox,1
520,2019-05-04,Boston Red Sox,Chicago White Sox,1
521,2019-05-05,Boston Red Sox,Chicago White Sox,1
522,2019-05-06,Boston Red Sox,Baltimore Orioles,0
523,2019-05-07,Boston Red Sox,Baltimore Orioles,1
524,2019-05-08,Boston Red Sox,Baltimore Orioles,1
525,2019-05-10,Boston Red Sox,Seattle Mariners,1
526,2019-05-11,Boston Red Sox,Seattle Mariners,1
527,2019-05-12,Boston Red Sox,Seattle Mariners,1
528,2019-05-14,Boston Red Sox,Colorado Rockies,0
529,2019-05-15,Boston Red Sox,Colorado Rockies,1
530,2019-05-17,Boston Red Sox,Houston Astros,0
531,2019-05-18,Boston Red Sox,Houston Astros,0
532,2019-05-19,Boston Red Sox,Houston Astros,1
533,2019-05-20,Boston Red Sox,Toronto Blue Jays,1
534,2019-05-21,Boston Red Sox,Toronto Blue Jays,0
535,2019-05-22,Boston Red Sox,Toronto Blue Jays,1
536,2019-05-23,Boston Red Sox,Toronto Blue Jays,1
537,2019-05-24,Boston Red Sox,Houston Astros,0
538,2019-05-25,Boston Red Sox,Houston Astros,0
539,2019-05-26,Boston Red Sox,Houston Astros,1
540,2019-05-27,Boston Red Sox,Cleveland Indians,1
541,2019-05-28,Boston Red Sox,Cleveland Indians,0
542,2019-05-29,Boston Red Sox,Cleveland Indians,0
543,2019-05-31,Boston Red Sox,New York Yankees,0
544,2019-06-01,Boston Red Sox,New York Yankees,0
545,2019-06-02,Boston Red Sox,New York Yankees,1
546,2019-06-04,Boston Red Sox,Kansas City Royals,1
547,2019-06-05,Boston Red Sox,Kansas City Royals,1
548,2019-06-06,Boston Red Sox,Kansas City Royals,1
549,2019-06-07,Boston Red Sox,Tampa Bay Rays,0
550,2019-06-08,Boston Red Sox,Tampa Bay Rays,0
551,2019-06-08,Boston Red Sox,Tampa Bay Rays,1
552,2019-06-09,Boston Red Sox,Tampa Bay Rays,0
553,2019-06-10,Boston Red Sox,Texas Rangers,0
554,2019-06-11,Boston Red Sox,Texas Rangers,0
555,2019-06-12,Boston Red Sox,Texas Rangers,1
556,2019-06-13,Boston Red Sox,Texas Rangers,1
557,2019-06-14,Boston Red Sox,Baltimore Orioles,1
558,2019-06-15,Boston Red Sox,Baltimore Orioles,1
559,2019-06-16,Boston Red Sox,Baltimore Orioles,1
560,2019-06-17,Boston Red Sox,Minnesota Twins,1
561,2019-06-18,Boston Red Sox,Minnesota Twins,0
562,2019-06-19,Boston Red Sox,Minnesota Twins,1
563,2019-06-21,Boston Red Sox,Toronto Blue Jays,1
564,2019-06-22,Boston Red Sox,Toronto Blue Jays,0
565,2019-06-23,Boston Red Sox,Toronto Blue Jays,0
566,2019-06-24,Boston Red Sox,Chicago White Sox,1
567,2019-06-25,Boston Red Sox,Chicago White Sox,1
568,2019-06-26,Boston Red Sox,Chicago White Sox,0
569,2019-06-29,Boston Red Sox,New York Yankees,0
570,2019-06-30,Boston Red Sox,New York Yankees,0
571,2019-07-02,Boston Red Sox,Toronto Blue Jays,1
572,2019-07-03,Boston Red Sox,Toronto Blue Jays,0
573,2019-07-04,Boston Red Sox,Toronto Blue Jays,1
574,2019-07-05,Boston Red Sox,Detroit Tigers,1
575,2019-07-06,Boston Red Sox,Detroit Tigers,1
576,2019-07-07,Boston Red Sox,Detroit Tigers,1
577,2019-07-12,Boston Red Sox,Los Angeles Dodgers,1
578,2019-07-13,Boston Red Sox,Los Angeles Dodgers,0
579,2019-07-14,Boston Red Sox,Los Angeles Dodgers,0
580,2019-07-15,Boston Red Sox,Toronto Blue Jays,1
581,2019-07-16,Boston Red Sox,Toronto Blue Jays,0
582,2019-07-17,Boston Red Sox,Toronto Blue Jays,1
583,2019-07-18,Boston Red Sox,Toronto Blue Jays,1
584,2019-07-19,Boston Red Sox,Baltimore Orioles,0
585,2019-07-20,Boston Red Sox,Baltimore Orioles,1
586,2019-07-21,Boston Red Sox,Baltimore Orioles,0
587,2019-07-22,Boston Red Sox,Tampa Bay Rays,1
588,2019-07-23,Boston Red Sox,Tampa Bay Rays,1
589,2019-07-24,Boston Red Sox,Tampa Bay Rays,0
590,2019-07-25,Boston Red Sox,New York Yankees,1
591,2019-07-26,Boston Red Sox,New York Yankees,1
592,2019-07-27,Boston Red Sox,New York Yankees,1
593,2019-07-28,Boston Red Sox,New York Yankees,0
594,2019-07-30,Boston Red Sox,Tampa Bay Rays,0
595,2019-07-31,Boston Red Sox,Tampa Bay Rays,0
596,2019-08-01,Boston Red Sox,Tampa Bay Rays,0
597,2019-08-02,Boston Red Sox,New York Yankees,0
598,2019-08-03,Boston Red Sox,New York Yankees,0
599,2019-08-03,Boston Red Sox,New York Yankees,0
600,2019-08-04,Boston Red Sox,New York Yankees,0
601,2019-08-05,Boston Red Sox,Kansas City Royals,1
602,2019-08-06,Boston Red Sox,Kansas City Royals,0
603,2019-08-07,Boston Red Sox,Kansas City Royals,1
604,2019-08-08,Boston Red Sox,Los Angeles Angels,1
605,2019-08-09,Boston Red Sox,Los Angeles Angels,1
606,2019-08-10,Boston Red Sox,Los Angeles Angels,0
607,2019-08-11,Boston Red Sox,Los Angeles Angels,0
608,2019-08-12,Boston Red Sox,Cleveland Indians,0
609,2019-08-13,Boston Red Sox,Cleveland Indians,1
610,2019-08-14,Boston Red Sox,Cleveland Indians,1
611,2019-08-16,Boston Red Sox,Baltimore Orioles,1
612,2019-08-17,Boston Red Sox,Baltimore Orioles,1
613,2019-08-18,Boston Red Sox,Baltimore Orioles,1
614,2019-08-20,Boston Red Sox,Philadelphia Phillies,0
615,2019-08-21,Boston Red Sox,Philadelphia Phillies,0
616,2019-08-23,Boston Red Sox,San Diego Padres,1
617,2019-08-24,Boston Red Sox,San Diego Padres,1
618,2019-08-25,Boston Red Sox,San Diego Padres,0
619,2019-08-27,Boston Red Sox,Colorado Rockies,1
620,2019-08-28,Boston Red Sox,Colorado Rockies,1
621,2019-08-30,Boston Red Sox,Los Angeles Angels,1
622,2019-08-31,Boston Red Sox,Los Angeles Angels,0
623,2019-09-01,Boston Red Sox,Los Angeles Angels,1
624,2019-09-03,Boston Red Sox,Minnesota Twins,0
625,2019-09-04,Boston Red Sox,Minnesota Twins,1
626,2019-09-05,Boston Red Sox,Minnesota Twins,0
627,2019-09-06,Boston Red Sox,New York Yankees,1
628,2019-09-07,Boston Red Sox,New York Yankees,0
629,2019-09-08,Boston Red Sox,New York Yankees,0
630,2019-09-09,Boston Red Sox,New York Yankees,0
631,2019-09-10,Boston Red Sox,Toronto Blue Jays,0
632,2019-09-11,Boston Red Sox,Toronto Blue Jays,0
633,2019-09-12,Boston Red Sox,Toronto Blue Jays,1
634,2019-09-14,Boston Red Sox,Philadelphia Phillies,1
635,2019-09-15,Boston Red Sox,Philadelphia Phillies,1
636,2019-09-17,Boston Red Sox,San Francisco Giants,0
637,2019-09-18,Boston Red Sox,San Francisco Giants,0
638,2019-09-19,Boston Red Sox,San Francisco Giants,1
639,2019-09-20,Boston Red Sox,Tampa Bay Rays,0
640,2019-09-21,Boston Red Sox,Tampa Bay Rays,0
641,2019-09-22,Boston Red Sox,Tampa Bay Rays,1
642,2019-09-23,Boston Red Sox,Tampa Bay Rays,0
643,2019-09-24,Boston Red Sox,Texas Rangers,1
644,2019-09-25,Boston Red Sox,Texas Rangers,1
645,2019-09-26,Boston Red Sox,Texas Rangers,0
646,2019-09-27,Boston Red Sox,Baltimore Orioles,0
647,2019-09-28,Boston Red Sox,Baltimore Orioles,0
648,2019-09-29,Boston Red Sox,Baltimore Orioles,1
649,2020-07-24,Boston Red Sox,Baltimore Orioles,1
650,2020-07-25,Boston Red Sox,Baltimore Orioles,0
651,2020-07-26,Boston Red Sox,Baltimore Orioles,0
652,2020-07-27,Boston Red Sox,New York Mets,0
653,2020-07-28,Boston Red Sox,New York Mets,0
654,2020-07-29,Boston Red Sox,New York Mets,1
655,2020-07-30,Boston Red Sox,New York Mets,1
656,2020-07-31,Boston Red Sox,New York Yankees,0
657,2020-08-01,Boston Red Sox,New York Yankees,0
658,2020-08-02,Boston Red Sox,New York Yankees,0
659,2020-08-04,Boston Red Sox,Tampa Bay Rays,0
660,2020-08-05,Boston Red Sox,Tampa Bay Rays,1
661,2020-08-07,Boston Red Sox,Toronto Blue Jays,1
662,2020-08-08,Boston Red Sox,Toronto Blue Jays,0
663,2020-08-09,Boston Red Sox,Toronto Blue Jays,1
664,2020-08-10,Boston Red Sox,Tampa Bay Rays,0
665,2020-08-11,Boston Red Sox,Tampa Bay Rays,0
666,2020-08-12,Boston Red Sox,Tampa Bay Rays,0
667,2020-08-13,Boston Red Sox,Tampa Bay Rays,0
668,2020-08-14,Boston Red Sox,New York Yankees,0
669,2020-08-15,Boston Red Sox,New York Yankees,0
670,2020-08-16,Boston Red Sox,New York Yankees,0
671,2020-08-17,Boston Red Sox,New York Yankees,0
672,2020-08-18,Boston Red Sox,Philadelphia Phillies,0
673,2020-08-19,Boston Red Sox,Philadelphia Phillies,1
674,2020-08-20,Boston Red Sox,Baltimore Orioles,1
675,2020-08-21,Boston Red Sox,Baltimore Orioles,1
676,2020-08-22,Boston Red Sox,Baltimore Orioles,0
677,2020-08-23,Boston Red Sox,Baltimore Orioles,0
678,2020-08-25,Boston Red Sox,Toronto Blue Jays,1
679,2020-08-26,Boston Red Sox,Toronto Blue Jays,0
680,2020-08-28,Boston Red Sox,Washington Nationals,0
681,2020-08-29,Boston Red Sox,Washington Nationals,1
682,2020-08-30,Boston Red Sox,Washington Nationals,1
683,2020-08-31,Boston Red Sox,Atlanta Braves,0
684,2020-09-01,Boston Red Sox,Atlanta Braves,0
685,2020-09-02,Boston Red Sox,Atlanta Braves,0
686,2020-09-03,Boston Red Sox,Toronto Blue Jays,0
687,2020-09-04,Boston Red Sox,Toronto Blue Jays,0
688,2020-09-04,Boston Red Sox,Toronto Blue Jays,1
689,2020-09-05,Boston Red Sox,Toronto Blue Jays,1
690,2020-09-06,Boston Red Sox,Toronto Blue Jays,0
691,2020-09-08,Boston Red Sox,Philadelphia Phillies,0
692,2020-09-08,Boston Red Sox,Philadelphia Phillies,1
693,2020-09-10,Boston Red Sox,Tampa Bay Rays,1
694,2020-09-11,Boston Red Sox,Tampa Bay Rays,0
695,2020-09-12,Boston Red Sox,Tampa Bay Rays,0
696,2020-09-13,Boston Red Sox,Tampa Bay Rays,1
697,2020-09-15,Boston Red Sox,Miami Marlins,1
698,2020-09-16,Boston Red Sox,Miami Marlins,0
699,2020-09-17,Boston Red Sox,Miami Marlins,1
700,2020-09-18,Boston Red Sox,New York Yankees,0
701,2020-09-19,Boston Red Sox,New York Yankees,0
702,2020-09-20,Boston Red Sox,New York Yankees,1
703,2020-09-22,Boston Red Sox,Baltimore Orioles,1
704,2020-09-23,Boston Red Sox,Baltimore Orioles,1
705,2020-09-24,Boston Red Sox,Baltimore Orioles,0
706,2020-09-25,Boston Red Sox,Atlanta Braves,0
707,2020-09-26,Boston Red Sox,Atlanta Braves,1
708,2020-09-27,Boston Red Sox,Atlanta Braves,1
709,2021-04-02,Boston Red Sox,Baltimore Orioles,0
710,2021-04-03,Boston Red Sox,Baltimore Orioles,0
711,2021-04-04,Boston Red Sox,Baltimore Orioles,0
712,2021-04-05,Boston Red Sox,Tampa Bay Rays,1
713,2021-04-06,Boston Red Sox,Tampa Bay Rays,1
714,2021-04-07,Boston Red Sox,Tampa Bay Rays,1
715,2021-04-08,Boston Red Sox,Baltimore Orioles,1
716,2021-04-10,Boston Red Sox,Baltimore Orioles,1
717,2021-04-11,Boston Red Sox,Baltimore Orioles,1
718,2021-04-13,Boston Red Sox,Minnesota Twins,1
719,2021-04-14,Boston Red Sox,Minnesota Twins,1
720,2021-04-14,Boston Red Sox,Minnesota Twins,1
721,2021-04-15,Boston Red Sox,Minnesota Twins,0
722,2021-04-17,Boston Red Sox,Chicago White Sox,1
723,2021-04-18,Boston Red Sox,Chicago White Sox,0
724,2021-04-18,Boston Red Sox,Chicago White Sox,0
725,2021-04-19,Boston Red Sox,Chicago White Sox,1
726,2021-04-20,Boston Red Sox,Toronto Blue Jays,1
727,2021-04-21,Boston Red Sox,Toronto Blue Jays,0
728,2021-04-22,Boston Red Sox,Seattle Mariners,0
729,2021-04-23,Boston Red Sox,Seattle Mariners,1
730,2021-04-24,Boston Red Sox,Seattle Mariners,0
731,2021-04-25,Boston Red Sox,Seattle Mariners,1
732,2021-04-27,Boston Red Sox,New York Mets,1
733,2021-04-28,Boston Red Sox,New York Mets,1
734,2021-04-29,Boston Red Sox,Texas Rangers,0
735,2021-04-30,Boston Red Sox,Texas Rangers,1
736,2021-05-01,Boston Red Sox,Texas Rangers,0
737,2021-05-02,Boston Red Sox,Texas Rangers,0
738,2021-05-04,Boston Red Sox,Detroit Tigers,1
739,2021-05-05,Boston Red Sox,Detroit Tigers,0
740,2021-05-06,Boston Red Sox,Detroit Tigers,1
741,2021-05-07,Boston Red Sox,Baltimore Orioles,1
742,2021-05-08,Boston Red Sox,Baltimore Orioles,1
743,2021-05-09,Boston Red Sox,Baltimore Orioles,1
744,2021-05-10,Boston Red Sox,Baltimore Orioles,0
745,2021-05-11,Boston Red Sox,Oakland Athletics,0
746,2021-05-12,Boston Red Sox,Oakland Athletics,0
747,2021-05-13,Boston Red Sox,Oakland Athletics,1
748,2021-05-14,Boston Red Sox,Los Angeles Angels,1
749,2021-05-15,Boston Red Sox,Los Angeles Angels,1
750,2021-05-16,Boston Red Sox,Los Angeles Angels,0
751,2021-05-18,Boston Red Sox,Toronto Blue Jays,0
752,2021-05-19,Boston Red Sox,Toronto Blue Jays,1
753,2021-05-20,Boston Red Sox,Toronto Blue Jays,1
754,2021-05-21,Boston Red Sox,Philadelphia Phillies,1
755,2021-05-22,Boston Red Sox,Philadelphia Phillies,1
756,2021-05-23,Boston Red Sox,Philadelphia Phillies,0
757,2021-05-25,Boston Red Sox,Atlanta Braves,0
758,2021-05-26,Boston Red Sox,Atlanta Braves,1
759,2021-05-28,Boston Red Sox,Miami Marlins,1
760,2021-05-29,Boston Red Sox,Miami Marlins,1
761,2021-05-31,Boston Red Sox,Houston Astros,0
762,2021-06-01,Boston Red Sox,Houston Astros,0
763,2021-06-02,Boston Red Sox,Houston Astros,0
764,2021-06-03,Boston Red Sox,Houston Astros,1
765,2021-06-04,Boston Red Sox,New York Yankees,1
766,2021-06-05,Boston Red Sox,New York Yankees,1
767,2021-06-06,Boston Red Sox,New York Yankees,1
768,2021-06-07,Boston Red Sox,Miami Marlins,1
769,2021-06-08,Boston Red Sox,Houston Astros,0
770,2021-06-09,Boston Red Sox,Houston Astros,0
771,2021-06-10,Boston Red Sox,Houston Astros,1
772,2021-06-11,Boston Red Sox,Toronto Blue Jays,1
773,2021-06-12,Boston Red Sox,Toronto Blue Jays,0
774,2021-06-13,Boston Red Sox,Toronto Blue Jays,0
775,2021-06-14,Boston Red Sox,Toronto Blue Jays,1
776,2021-06-15,Boston Red Sox,Atlanta Braves,1
777,2021-06-16,Boston Red Sox,Atlanta Braves,1
778,2021-06-18,Boston Red Sox,Kansas City Royals,0
779,2021-06-19,Boston Red Sox,Kansas City Royals,1
780,2021-06-20,Boston Red Sox,Kansas City Royals,0
781,2021-06-22,Boston Red Sox,Tampa Bay Rays,1
782,2021-06-23,Boston Red Sox,Tampa Bay Rays,0
783,2021-06-24,Boston Red Sox,Tampa Bay Rays,0
784,2021-06-25,Boston Red Sox,New York Yankees,1
785,2021-06-26,Boston Red Sox,New York Yankees,1
786,2021-06-27,Boston Red Sox,New York Yankees,1
787,2021-06-28,Boston Red Sox,Kansas City Royals,1
788,2021-06-29,Boston Red Sox,Kansas City Royals,1
789,2021-06-30,Boston Red Sox,Kansas City Royals,1
790,2021-07-01,Boston Red Sox,Kansas City Royals,1
791,2021-07-02,Boston Red Sox,Oakland Athletics,1
792,2021-07-03,Boston Red Sox,Oakland Athletics,0
793,2021-07-04,Boston Red Sox,Oakland Athletics,1
794,2021-07-05,Boston Red Sox,Los Angeles Angels,1
795,2021-07-06,Boston Red Sox,Los Angeles Angels,0
796,2021-07-07,Boston Red Sox,Los Angeles Angels,0
797,2021-07-09,Boston Red Sox,Philadelphia Phillies,1
798,2021-07-10,Boston Red Sox,Philadelphia Phillies,0
799,2021-07-11,Boston Red Sox,Philadelphia Phillies,0
800,2021-07-16,Boston Red Sox,New York Yankees,1
801,2021-07-17,Boston Red Sox,New York Yankees,0
802,2021-07-18,Boston Red Sox,New York Yankees,0
803,2021-07-19,Boston Red Sox,Toronto Blue Jays,1
804,2021-07-21,Boston Red Sox,Toronto Blue Jays,1
805,2021-07-22,Boston Red Sox,New York Yankees,1
806,2021-07-23,Boston Red Sox,New York Yankees,1
807,2021-07-24,Boston Red Sox,New York Yankees,0
808,2021-07-25,Boston Red Sox,New York Yankees,1
809,2021-07-26,Boston Red Sox,Toronto Blue Jays,1
810,2021-07-28,Boston Red Sox,Toronto Blue Jays,0
811,2021-07-28,Boston Red Sox,Toronto Blue Jays,1
812,2021-07-29,Boston Red Sox,Toronto Blue Jays,0
813,2021-07-30,Boston Red Sox,Tampa Bay Rays,0
814,2021-07-31,Boston Red Sox,Tampa Bay Rays,0
815,2021-08-01,Boston Red Sox,Tampa Bay Rays,0
816,2021-08-03,Boston Red Sox,Detroit Tigers,0
817,2021-08-04,Boston Red Sox,Detroit Tigers,1
818,2021-08-05,Boston Red Sox,Detroit Tigers,0
819,2021-08-06,Boston Red Sox,Toronto Blue Jays,0
820,2021-08-07,Boston Red Sox,Toronto Blue Jays,0
821,2021-08-07,Boston Red Sox,Toronto Blue Jays,1
822,2021-08-08,Boston Red Sox,Toronto Blue Jays,0
823,2021-08-10,Boston Red Sox,Tampa Bay Rays,0
824,2021-08-11,Boston Red Sox,Tampa Bay Rays,1
825,2021-08-12,Boston Red Sox,Tampa Bay Rays,0
826,2021-08-13,Boston Red Sox,Baltimore Orioles,1
827,2021-08-14,Boston Red Sox,Baltimore Orioles,1
828,2021-08-15,Boston Red Sox,Baltimore Orioles,1
829,2021-08-17,Boston Red Sox,New York Yankees,0
830,2021-08-17,Boston Red Sox,New York Yankees,0
831,2021-08-18,Boston Red Sox,New York Yankees,0
832,2021-08-20,Boston Red Sox,Texas Rangers,1
833,2021-08-21,Boston Red Sox,Texas Rangers,0
834,2021-08-23,Boston Red Sox,Texas Rangers,1
835,2021-08-24,Boston Red Sox,Minnesota Twins,1
836,2021-08-25,Boston Red Sox,Minnesota Twins,0
837,2021-08-26,Boston Red Sox,Minnesota Twins,1
838,2021-08-27,Boston Red Sox,Cleveland Indians,1
839,2021-08-28,Boston Red Sox,Cleveland Indians,1
840,2021-08-29,Boston Red Sox,Cleveland Indians,0
841,2021-08-30,Boston Red Sox,Tampa Bay Rays,0
842,2021-08-31,Boston Red Sox,Tampa Bay Rays,0
843,2021-09-01,Boston Red Sox,Tampa Bay Rays,1
844,2021-09-02,Boston Red Sox,Tampa Bay Rays,1
845,2021-09-03,Boston Red Sox,Cleveland Indians,1
846,2021-09-04,Boston Red Sox,Cleveland Indians,1
847,2021-09-05,Boston Red Sox,Cleveland Indians,0
848,2021-09-06,Boston Red Sox,Tampa Bay Rays,0
849,2021-09-07,Boston Red Sox,Tampa Bay Rays,0
850,2021-09-08,Boston Red Sox,Tampa Bay Rays,1
851,2021-09-10,Boston Red Sox,Chicago White Sox,0
852,2021-09-11,Boston Red Sox,Chicago White Sox,1
853,2021-09-12,Boston Red Sox,Chicago White Sox,0
854,2021-09-13,Boston Red Sox,Seattle Mariners,0
855,2021-09-14,Boston Red Sox,Seattle Mariners,1
856,2021-09-15,Boston Red Sox,Seattle Mariners,1
857,2021-09-17,Boston Red Sox,Baltimore Orioles,1
858,2021-09-18,Boston Red Sox,Baltimore Orioles,1
859,2021-09-19,Boston Red Sox,Baltimore Orioles,1
860,2021-09-21,Boston Red Sox,New York Mets,1
861,2021-09-22,Boston Red Sox,New York Mets,1
862,2021-09-24,Boston Red Sox,New York Yankees,0
863,2021-09-25,Boston Red Sox,New York Yankees,0
864,2021-09-26,Boston Red Sox,New York Yankees,0
865,2021-09-28,Boston Red Sox,Baltimore Orioles,0
866,2021-09-29,Boston Red Sox,Baltimore Orioles,1
867,2021-09-30,Boston Red Sox,Baltimore Orioles,0
868,2021-10-01,Boston Red Sox,Washington Nationals,1
869,2021-10-02,Boston Red Sox,Washington Nationals,1
870,2021-10-03,Boston Red Sox,Washington Nationals,1
